participant_id,condition,pointer_type,distance_to_start_position,is_circle_clicked,is_target,task_completion_time_in_ms
4,2,normal,2810.794371703487,True,True,847.4889999999999
4,2,normal,2804.0032096985915,True,True,1005.672
4,2,normal,2547.596906890884,True,True,1338.832
4,3,normal,2856.514309433789,True,True,559.821
4,3,normal,2538.4912842080043,True,True,667.5550000000002
4,3,normal,2886.923102543606,True,True,1299.998
4,3,normal,2670.480481111966,True,True,613.899
4,3,normal,2639.891096238631,True,True,1096.107
4,4,normal,2825.433772007407,True,True,1114.563
4,4,normal,2570.391604405834,True,True,833.9290000000002
4,4,normal,2612.0570437875203,True,True,738.855
4,4,normal,2687.392974613129,True,True,1077.197
4,4,normal,513.7285275318084,False,False,
4,4,normal,438.8131720903555,False,False,
4,4,normal,2800.5517313558053,True,True,1722.0549999999996
4,5,normal,2562.798665521738,True,True,602.3480000000001
4,5,normal,2867.0565045007397,True,True,996.07
4,5,normal,2632.2572062775325,True,True,772.2389999999999
4,5,normal,2814.866426671077,True,True,755.5139999999999
4,5,normal,2682.8451315720777,True,True,620.8580000000002
4,6,normal,2820.3177125990615,True,True,984.027
4,6,normal,362.22782885913114,False,False,
4,6,normal,2550.5752292375146,True,True,1052.348
4,6,normal,2591.871138772143,True,True,1104.742
4,6,normal,2826.049185700773,True,True,797.063
4,6,normal,2686.649958591554,True,True,1166.073
1,2,novel,538.4468404587402,True,True,624.891
1,2,novel,811.3852352612782,True,True,805.304
1,2,novel,801.4499360534007,True,True,909.796
1,2,novel,677.5322870535397,True,True,1256.515
1,2,novel,690.7416304234167,True,True,1067.809
1,3,novel,682.3562119597067,True,True,380.81300000000005
1,3,novel,555.3602434456395,True,True,832.84
1,3,novel,603.8584271168202,True,False,
1,3,novel,842.2143432642309,True,True,1239.744
1,3,novel,638.5052858042758,True,True,1614.8270000000002
1,3,novel,855.3093007795485,True,True,652.8629999999998
1,1,novel,733.4309783476563,True,True,673.2660000000002
1,1,novel,805.1863138429517,True,True,644.8430000000002
1,1,novel,675.3939591083117,True,True,844.2589999999999
1,1,novel,562.1049724028421,True,True,533.205
1,1,novel,821.0219241896042,True,True,569.881
1,4,novel,812.7902558471035,True,True,721.1659999999998
1,4,novel,669.4251265078119,True,True,1463.277
1,4,novel,711.8440840521189,True,True,692.4760000000001
1,4,novel,577.6028047023318,True,True,870.568
